sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target_name
5.11,3.51,1.45,0.25,setosa
4.95,3.08,1.42,0.24,setosa
4.76,3.24,1.34,0.22,setosa
4.63,3.15,1.55,0.22,setosa
5.07,3.68,1.41,0.23,setosa
5.45,3.95,1.77,0.48,setosa
4.68,3.43,1.45,0.38,setosa
5.08,3.42,1.54,0.26,setosa
4.46,2.94,1.44,0.25,setosa
4.98,3.18,1.52,0.13,setosa
5.47,3.76,1.59,0.22,setosa
4.88,3.45,1.68,0.24,setosa
4.82,3.06,1.48,0.17,setosa
4.32,3.06,1.19,0.14,setosa
5.86,4.04,1.24,0.26,setosa
5.79,4.41,1.57,0.41,setosa
5.46,3.91,1.33,0.43,setosa
5.18,3.56,1.42,0.32,setosa
5.77,3.85,1.75,0.39,setosa
5.19,3.88,1.52,0.35,setosa
5.45,3.48,1.74,0.27,setosa
5.12,3.75,1.58,0.45,setosa
4.64,3.68,1.07,0.22,setosa
5.14,3.34,1.72,0.52,setosa
4.89,3.45,1.93,0.22,setosa
5.07,3.08,1.65,0.25,setosa
5.05,3.42,1.67,0.46,setosa
5.29,3.58,1.52,0.28,setosa
5.22,3.48,1.49,0.24,setosa
4.77,3.22,1.64,0.23,setosa
4.88,3.16,1.66,0.28,setosa
5.49,3.47,1.56,0.45,setosa
5.22,4.13,1.57,0.14,setosa
5.57,4.24,1.43,0.27,setosa
4.94,3.19,1.53,0.22,setosa
5.07,3.23,1.25,0.29,setosa
5.57,3.58,1.33,0.26,setosa
4.91,3.65,1.47,0.15,setosa
4.46,3.08,1.31,0.27,setosa
5.18,3.44,1.54,0.22,setosa
5.07,3.56,1.36,0.38,setosa
4.54,2.34,1.36,0.34,setosa
4.42,3.27,1.36,0.23,setosa
5.06,3.52,1.65,0.64,setosa
5.17,3.88,1.98,0.48,setosa
4.87,3.06,1.42,0.39,setosa
5.16,3.82,1.61,0.26,setosa
4.63,3.22,1.45,0.22,setosa
5.34,3.74,1.56,0.25,setosa
5.04,3.36,1.45,0.21,setosa
4.83,3.32,1.39,0.38,setosa
5.13,3.08,1.39,0.21,setosa
5.05,3.24,1.46,0.27,setosa
4.94,3.40,1.37,0.25,setosa
4.67,3.83,1.28,0.28,setosa
4.15,2.90,1.27,0.10,setosa
5.76,3.40,1.28,0.29,setosa
4.98,3.33,1.52,0.22,setosa
5.25,3.56,1.32,0.21,setosa
4.94,3.21,1.75,0.24,setosa
5.22,3.53,1.46,0.26,setosa
5.05,3.11,1.40,0.20,setosa
4.83,3.69,1.79,0.29,setosa
5.20,4.05,1.56,0.19,setosa
5.63,3.89,1.46,0.35,setosa
5.07,3.41,1.37,0.27,setosa
4.50,3.08,1.50,0.25,setosa
5.63,3.45,1.42,0.26,setosa
5.28,3.72,1.60,0.64,setosa
5.80,4.14,1.45,0.33,setosa
5.61,3.80,1.60,0.18,setosa
4.82,3.11,1.66,0.17,setosa
5.35,3.39,1.60,0.23,setosa
